item_name;item_category;designation;conductor_material;insulation_material;r_ohm_per_km;x_ohm_per_km;c_nf_per_km;max_i_ka;type;r0n_ohm_per_km;x0n_ohm_per_km;r0g_ohm_per_km;x0g_ohm_per_km;phase_sc_current_rating;cpe_sc_current_rating
3C x 240 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 3C (In Duct);3Cx240 2XFY;Copper;XLPE/EPR;0.0985;0.0713;670;0.355;Under Ground;0.2955;0.2139;0.2955;0.2139;34.34;
3C x 300 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 3C (In Ground);3Cx300 2XFY;Copper;XLPE/EPR;0.0796;0.0703;710;0.469;Under Ground;0.2388;0.2109;0.2388;0.2109;42.93;
3C x 300 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 3C (In Air);3Cx300 2XFY;Copper;XLPE/EPR;0.0796;0.0703;710;0.574;Under Ground;0.2388;0.2109;0.2388;0.2109;42.93;
3C x 300 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 3C (In Duct);3Cx300 2XFY;Copper;XLPE/EPR;0.0796;0.0703;710;0.399;Under Ground;0.2388;0.2109;0.2388;0.2109;42.93;
3C x 400 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Copper 3C (In Ground);3Cx400 2XFY;Copper;XLPE/EPR;0.0637;0.0702;720;0.528;Under Ground;0.1911;0.2106;0.1911;0.2106;57.24;
3C x 400 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Copper 3C (In Air);3Cx400 2XFY;Copper;XLPE/EPR;0.0637;0.0702;720;0.662;Under Ground;0.1911;0.2106;0.1911;0.2106;57.24;
3C x 400 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Copper 3C (In Duct);3Cx400 2XFY;Copper;XLPE/EPR;0.0637;0.0702;720;0.449;Under Ground;0.1911;0.2106;0.1911;0.2106;57.24;
3.5C x 25 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx25/16 A2XFY;Aluminium;XLPE/EPR;1.54;0.0808;430;0.095;Under Ground;4.62;0.2424;4.62;0.2424;2.36;
3.5C x 25 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx25/16 A2XFY;Aluminium;XLPE/EPR;1.54;0.0808;430;0.093;Under Ground;4.62;0.2424;4.62;0.2424;2.36;
3.5C x 25 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx25/16 A2XFY;Aluminium;XLPE/EPR;1.54;0.0808;430;0.081;Under Ground;4.62;0.2424;4.62;0.2424;2.36;
